Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Steve Malovic,1980,1980,F,6-10,230.0,"July 21, 1956","USC, San Diego State",https://www.basketball-reference.com/players/m/malovst01.html
Mike Maloy,1971,1973,F,6-7,215.0,"May 10, 1949",Davidson,https://www.basketball-reference.com/players/m/maloymi01.html
Sandro Mamukelashvili,2022,2023,C-F,6-11,240.0,"May 23, 1999",Seton Hall,https://www.basketball-reference.com/players/m/mamuksa01.html
Ted Manakas,1974,1974,G,6-2,180.0,"February 22, 1951",Princeton,https://www.basketball-reference.com/players/m/manakte01.html
John Mandic,1949,1950,F-C,6-4,205.0,"October 3, 1919",Oregon State,https://www.basketball-reference.com/players/m/mandijo01.html
Karim Mané,2021,2021,G,6-3,190.0,"May 16, 2000",Vanier College,https://www.basketball-reference.com/players/m/maneka01.html
Frank Mangiapane,1947,1947,G,5-10,195.0,"August 5, 1925",NYU,https://www.basketball-reference.com/players/m/mangifr01.html
Terance Mann,2020,2023,G-F,6-5,215.0,"October 18, 1996",Florida State,https://www.basketball-reference.com/players/m/mannte01.html
Tre Mann,2022,2023,G,6-3,178.0,"February 3, 2001",Florida,https://www.basketball-reference.com/players/m/manntr01.html
Danny Manning,1989,2003,F-C,6-10,230.0,"May 17, 1966",Kansas,https://www.basketball-reference.com/players/m/mannida01.html
Ed Manning,1968,1976,F,6-7,210.0,"January 2, 1944",Jackson State University,https://www.basketball-reference.com/players/m/mannied01.html
Guy Manning,1968,1969,F,6-6,195.0,"February 4, 1944",Prairie View A&M University,https://www.basketball-reference.com/players/m/mannigu01.html
Rich Manning,1996,1997,C,6-11,253.0,"June 23, 1970","Syracuse, Washington",https://www.basketball-reference.com/players/m/manniri01.html
Nico Mannion,2021,2021,G,6-2,190.0,"March 14, 2001",Arizona,https://www.basketball-reference.com/players/m/mannini01.html
Pace Mannion,1984,1989,G,6-7,190.0,"September 22, 1960",Utah,https://www.basketball-reference.com/players/m/mannipa01.html
Nick Mantis,1960,1963,G,6-3,190.0,"December 7, 1935",Northwestern,https://www.basketball-reference.com/players/m/mantini01.html
Pete Maravich*,1971,1980,G,6-5,197.0,"June 22, 1947",LSU,https://www.basketball-reference.com/players/m/maravpe01.html
Press Maravich,1947,1947,G,6-0,185.0,"August 29, 1915",Davis & Elkins College,https://www.basketball-reference.com/players/m/maravpr01.html
Devyn Marble,2015,2016,G-F,6-6,200.0,"September 21, 1992",Iowa,https://www.basketball-reference.com/players/m/marblde01.html
Roy Marble,1990,1994,G-F,6-6,190.0,"December 13, 1966",Iowa,https://www.basketball-reference.com/players/m/marblro01.html
Stephon Marbury,1997,2009,G,6-2,180.0,"February 20, 1977",Georgia Tech,https://www.basketball-reference.com/players/m/marbust01.html
Šarūnas Marčiulionis*,1990,1997,G,6-5,200.0,"June 13, 1964",,https://www.basketball-reference.com/players/m/marcisa01.html
Saul Mariaschin,1948,1948,G,5-11,165.0,"September 1, 1924",Harvard University,https://www.basketball-reference.com/players/m/mariasa01.html
Jack Marin,1967,1977,F-G,6-7,200.0,"October 12, 1944",Duke,https://www.basketball-reference.com/players/m/marinja01.html
Shawn Marion,2000,2015,F,6-7,220.0,"May 7, 1978","Vincennes University, UNLV",https://www.basketball-reference.com/players/m/mariosh01.html
Boban Marjanović,2016,2023,C,7-3,290.0,"August 15, 1988",,https://www.basketball-reference.com/players/m/marjabo01.html
Lauri Markkanen,2018,2023,F-C,7-0,240.0,"May 22, 1997",Arizona,https://www.basketball-reference.com/players/m/markkla01.html
Damir Markota,2007,2007,C,6-10,225.0,"December 26, 1985",,https://www.basketball-reference.com/players/m/markoda01.html
Sean Marks,1999,2011,F-C,6-10,250.0,"August 23, 1975",California,https://www.basketball-reference.com/players/m/marksse01.html
Harvey Marlatt,1971,1973,G,6-3,185.0,"August 26, 1948",Eastern Michigan,https://www.basketball-reference.com/players/m/marlaha01.html
Jim Marsh,1972,1972,F,6-7,215.0,"April 26, 1946",USC,https://www.basketball-reference.com/players/m/marshji01.html
Ricky Marsh,1978,1978,G,6-3,200.0,"March 10, 1954",Manhattan College,https://www.basketball-reference.com/players/m/marshri01.html
Donny Marshall,1996,2003,F,6-7,230.0,"July 17, 1972",UConn,https://www.basketball-reference.com/players/m/marshdo02.html
Donyell Marshall,1995,2009,F,6-9,218.0,"May 18, 1973",UConn,https://www.basketball-reference.com/players/m/marshdo01.html
Kendall Marshall,2013,2016,G,6-4,200.0,"August 19, 1991",UNC,https://www.basketball-reference.com/players/m/marshke01.html
Naji Marshall,2021,2023,F,6-7,220.0,"January 24, 1998",Xavier,https://www.basketball-reference.com/players/m/marshna01.html
Rawle Marshall,2006,2007,G-F,6-9,190.0,"February 20, 1982","Ball State University, Oakland",https://www.basketball-reference.com/players/m/marshra01.html
Tom Marshall,1955,1959,F-G,6-4,215.0,"January 6, 1931",Western Kentucky,https://www.basketball-reference.com/players/m/marshto01.html
Vester Marshall,1974,1974,F,6-7,200.0,"December 22, 1948",Oklahoma,https://www.basketball-reference.com/players/m/marshve01.html
Bill Martin,1986,1988,F,6-7,205.0,"August 16, 1962",Georgetown,https://www.basketball-reference.com/players/m/martibi01.html
Bob Martin,1994,1995,C,7-0,250.0,"October 7, 1969",Minnesota,https://www.basketball-reference.com/players/m/martibo01.html
Brian Martin,1986,1986,F,6-9,212.0,"August 18, 1962",Kansas,https://www.basketball-reference.com/players/m/martibr01.html
Caleb Martin,2020,2023,F,6-5,205.0,"September 28, 1995","NC State, Nevada",https://www.basketball-reference.com/players/m/martica02.html
Cartier Martin,2009,2015,F,6-7,220.0,"November 20, 1984",Kansas State,https://www.basketball-reference.com/players/m/martica01.html
Cody Martin,2020,2023,G-F,6-5,205.0,"September 28, 1995","NC State, Nevada",https://www.basketball-reference.com/players/m/martico01.html
Cuonzo Martin,1996,1997,G-F,6-5,213.0,"September 23, 1971",Purdue,https://www.basketball-reference.com/players/m/marticu01.html
Darrick Martin,1995,2008,G,5-11,170.0,"March 6, 1971",UCLA,https://www.basketball-reference.com/players/m/martida01.html
Dino Martin,1947,1948,G,5-8,160.0,"May 25, 1920",Georgetown,https://www.basketball-reference.com/players/m/martidi01.html
Don Martin,1947,1949,C-F,6-7,210.0,"February 7, 1920",Central Missouri State University,https://www.basketball-reference.com/players/m/martido01.html
Fernando Martín,1987,1987,C,6-9,220.0,"March 25, 1962",,https://www.basketball-reference.com/players/m/martife01.html
Jarell Martin,2016,2019,F,6-10,239.0,"May 24, 1994",LSU,https://www.basketball-reference.com/players/m/martija01.html
Jeff Martin,1990,1991,G,6-5,195.0,"January 14, 1967",Murray State,https://www.basketball-reference.com/players/m/martije01.html
Jeremiah Martin,2020,2021,G,6-3,185.0,"June 19, 1996",Memphis,https://www.basketball-reference.com/players/m/martije02.html
Kelan Martin,2020,2022,F,6-5,230.0,"August 3, 1995",Butler,https://www.basketball-reference.com/players/m/martike03.html
Kenyon Martin,2001,2015,F,6-9,234.0,"December 30, 1977",Cincinnati,https://www.basketball-reference.com/players/m/martike01.html
Kenyon Martin Jr.,2021,2023,F,6-6,215.0,"January 6, 2001",,https://www.basketball-reference.com/players/m/martike04.html
Kevin Martin,2005,2016,G,6-7,199.0,"February 1, 1983",Western Carolina University,https://www.basketball-reference.com/players/m/martike02.html
LaRue Martin,1973,1976,C,6-11,208.0,"March 30, 1950",Loyola Chicago,https://www.basketball-reference.com/players/m/martila01.html
Maurice Martin,1987,1988,F-G,6-6,200.0,"July 2, 1964",Saint Joseph's,https://www.basketball-reference.com/players/m/martima01.html
Phil Martin,1955,1955,G,6-3,190.0,"April 2, 1928",Toledo,https://www.basketball-reference.com/players/m/martiph01.html
Slater Martin*,1950,1960,G,5-10,170.0,"October 22, 1925",Texas,https://www.basketball-reference.com/players/m/martisl01.html
Tyrese Martin,2023,2023,G,6-6,215.0,"March 7, 1999","Rhode Island, UConn",https://www.basketball-reference.com/players/m/martity01.html
Whitey Martin,1962,1962,G,6-2,185.0,"April 11, 1939",St. Bonaventure,https://www.basketball-reference.com/players/m/martiwh01.html
Jamal Mashburn,1994,2004,F,6-8,240.0,"November 29, 1972",Kentucky,https://www.basketball-reference.com/players/m/mashbja01.html
Al Masino,1953,1954,G,5-10,174.0,"February 5, 1928",Canisius,https://www.basketball-reference.com/players/m/masinal01.html
Anthony Mason,1990,2003,F,6-7,250.0,"December 14, 1966",Tennessee State,https://www.basketball-reference.com/players/m/masonan01.html
Desmond Mason,2001,2010,F,6-7,224.0,"October 11, 1977",Oklahoma State,https://www.basketball-reference.com/players/m/masonde01.html
Frank Mason III,2018,2021,G,5-11,190.0,"April 3, 1994",Kansas,https://www.basketball-reference.com/players/m/masonfr01.html
Roger Mason,2003,2014,G,6-5,200.0,"September 10, 1980",Virginia,https://www.basketball-reference.com/players/m/masonro01.html
Tony Massenburg,1991,2005,F,6-9,220.0,"July 31, 1967",Maryland,https://www.basketball-reference.com/players/m/masseto01.html
Eddie Mast,1971,1973,F-C,6-9,220.0,"October 3, 1948",Temple,https://www.basketball-reference.com/players/m/masted01.html
Yante Maten,2019,2019,F,6-8,240.0,"August 14, 1996",Georgia,https://www.basketball-reference.com/players/m/matenya01.html
Garrison Mathews,2020,2023,G,6-5,215.0,"October 24, 1996",Lipscomb,https://www.basketball-reference.com/players/m/mathega01.html
Mangok Mathiang,2018,2018,C-F,6-10,230.0,"October 8, 1992",Louisville,https://www.basketball-reference.com/players/m/mathima01.html
Dakota Mathias,2021,2022,G,6-4,200.0,"July 11, 1995",Purdue,https://www.basketball-reference.com/players/m/mathida01.html
Johnny Mathis,1968,1968,F,6-6,220.0,"July 14, 1943",Savannah State University,https://www.basketball-reference.com/players/m/mathijo01.html
Bennedict Mathurin,2023,2023,G-F,6-6,210.0,"June 19, 2002",Arizona,https://www.basketball-reference.com/players/m/mathube01.html
Wes Matthews,1981,1990,G,6-1,170.0,"August 24, 1959",Wisconsin,https://www.basketball-reference.com/players/m/matthwe01.html
Wesley Matthews,2010,2023,G,6-4,220.0,"October 14, 1986",Marquette,https://www.basketball-reference.com/players/m/matthwe02.html
Ariel Maughan,1947,1951,F,6-4,190.0,"February 23, 1923",Utah State University,https://www.basketball-reference.com/players/m/maughar01.html
Marlon Maxey,1993,1994,F,6-8,250.0,"February 19, 1969","Minnesota, Texas-El Paso",https://www.basketball-reference.com/players/m/maxeyma01.html
Tyrese Maxey,2021,2023,G,6-2,200.0,"November 4, 2000",Kentucky,https://www.basketball-reference.com/players/m/maxeyty01.html
Jason Maxiell,2006,2015,F-C,6-7,260.0,"February 18, 1983",Cincinnati,https://www.basketball-reference.com/players/m/maxieja01.html
Cedric Maxwell,1978,1988,F,6-8,205.0,"November 21, 1955",UNC Charlotte,https://www.basketball-reference.com/players/m/maxwece01.html
Vernon Maxwell,1989,2001,G,6-4,180.0,"September 12, 1965",Florida,https://www.basketball-reference.com/players/m/maxweve01.html
Don May,1969,1975,F,6-4,200.0,"January 3, 1946",Dayton,https://www.basketball-reference.com/players/m/maydo01.html
Scott May,1977,1983,F,6-7,215.0,"March 19, 1954",Indiana,https://www.basketball-reference.com/players/m/maysc01.html
Sean May,2006,2010,F-C,6-9,266.0,"April 4, 1984",UNC,https://www.basketball-reference.com/players/m/mayse01.html
Lee Mayberry,1993,1999,G,6-1,172.0,"June 12, 1970",Arkansas,https://www.basketball-reference.com/players/m/maybele01.html
Clyde Mayes,1976,1977,F,6-8,225.0,"March 17, 1953",Furman University,https://www.basketball-reference.com/players/m/mayescl01.html
Tharon Mayes,1992,1992,G,6-3,175.0,"September 9, 1968",Florida State,https://www.basketball-reference.com/players/m/mayesth01.html
Bill Mayfield,1981,1981,F,6-7,205.0,"October 17, 1957",Iowa,https://www.basketball-reference.com/players/m/mayfibi01.html
Ken Mayfield,1976,1976,G,6-2,185.0,"May 11, 1948",Tuskegee University,https://www.basketball-reference.com/players/m/mayfike01.html
Eric Maynor,2010,2014,G,6-3,175.0,"June 11, 1987",VCU,https://www.basketball-reference.com/players/m/maynoer01.html
O.J. Mayo,2009,2016,G,6-5,210.0,"November 5, 1987",USC,https://www.basketball-reference.com/players/m/mayooj01.html
Skylar Mays,2021,2022,G,6-4,205.0,"September 5, 1997",LSU,https://www.basketball-reference.com/players/m/mayssk01.html
Travis Mays,1991,1993,G,6-2,190.0,"June 19, 1968",Texas,https://www.basketball-reference.com/players/m/maystr01.html
Matt Mazza,1950,1950,F,6-3,210.0,"September 23, 1923",Michigan State,https://www.basketball-reference.com/players/m/mazzama01.html
Luc Mbah a Moute,2009,2020,F,6-8,230.0,"September 9, 1986",UCLA,https://www.basketball-reference.com/players/m/mbahalu01.html
Bob McAdoo*,1973,1986,C-F,6-9,210.0,"September 25, 1951","Vincennes University, UNC",https://www.basketball-reference.com/players/m/mcadobo01.html
James Michael McAdoo,2015,2018,F,6-9,230.0,"January 4, 1993",UNC,https://www.basketball-reference.com/players/m/mcadoja01.html
Ken McBride,1955,1955,G-F,6-3,190.0,"May 23, 1929",University of Maryland Eastern Shore,https://www.basketball-reference.com/players/m/mcbrike01.html
Miles McBride,2022,2023,G,6-2,200.0,"September 8, 2000",West Virginia,https://www.basketball-reference.com/players/m/mcbrimi01.html
Tahjere McCall,2019,2019,G,6-5,195.0,"August 17, 1994",Tennessee State,https://www.basketball-reference.com/players/m/mccalta01.html
Ray McCallum,2014,2016,G,6-3,190.0,"June 12, 1991",Detroit Mercy,https://www.basketball-reference.com/players/m/mccalra01.html
Bob McCann,1990,1998,F,6-6,244.0,"April 22, 1964","Upsala College, Morehead State University",https://www.basketball-reference.com/players/m/mccanbo01.html
Brendan McCann,1958,1960,G,6-2,178.0,"July 5, 1935",St. Bonaventure,https://www.basketball-reference.com/players/m/mccanbr01.html
Mel McCants,1990,1990,F,6-8,240.0,"August 19, 1967",Purdue,https://www.basketball-reference.com/players/m/mccanme01.html
Rashad McCants,2006,2009,G,6-4,207.0,"September 25, 1984",UNC,https://www.basketball-reference.com/players/m/mccanra01.html
Mike McCarron,1947,1950,G,5-11,180.0,"March 2, 1922",Seton Hall,https://www.basketball-reference.com/players/m/mccarmi01.html
Andre McCarter,1977,1981,G,6-3,190.0,"August 25, 1953",UCLA,https://www.basketball-reference.com/players/m/mccaran01.html
Willie McCarter,1970,1972,G,6-3,175.0,"July 26, 1946",Drake University,https://www.basketball-reference.com/players/m/mccarwi01.html
Johnny McCarthy,1957,1964,G,6-1,185.0,"April 25, 1934",Canisius,https://www.basketball-reference.com/players/m/mccarjo01.html
Howie McCarty,1947,1947,F-G,6-2,190.0,"April 15, 1919",Wayne State University,https://www.basketball-reference.com/players/m/mccarho01.html
Kelly McCarty,1999,1999,G-F,6-7,200.0,"August 24, 1975",Southern Miss,https://www.basketball-reference.com/players/m/mccarke01.html
Walter McCarty,1997,2006,F,6-10,230.0,"February 1, 1974",Kentucky,https://www.basketball-reference.com/players/m/mccarwa01.html
Amal McCaskill,1997,2004,F-C,6-11,235.0,"October 28, 1973",Marquette,https://www.basketball-reference.com/players/m/mccasam01.html
Patrick McCaw,2017,2021,G,6-7,181.0,"October 25, 1995",UNLV,https://www.basketball-reference.com/players/m/mccawpa01.html
Dwayne McClain,1986,1986,G,6-6,185.0,"February 7, 1963",Villanova,https://www.basketball-reference.com/players/m/mccladw01.html
Ted McClain,1972,1979,G,6-1,180.0,"August 30, 1946",Tennessee State,https://www.basketball-reference.com/players/m/mcclate01.html
Dan McClintock,2001,2001,C,7-0,270.0,"April 19, 1977",Northern Arizona University,https://www.basketball-reference.com/players/m/mcclida01.html
Jack McCloskey,1953,1953,G,6-2,190.0,"September 19, 1925",Penn,https://www.basketball-reference.com/players/m/mccloja01.html
George McCloud,1990,2002,G-F,6-6,205.0,"May 27, 1967",Florida State,https://www.basketball-reference.com/players/m/mccloge01.html
Mac McClung,2022,2022,G,6-2,185.0,"January 6, 1999","Georgetown, Texas Tech",https://www.basketball-reference.com/players/m/mccluma01.html
CJ McCollum,2014,2023,G,6-3,190.0,"September 19, 1991",Lehigh,https://www.basketball-reference.com/players/m/mccolcj01.html
John McConathy,1952,1952,F,6-5,195.0,"April 9, 1930",Northwestern State University,https://www.basketball-reference.com/players/m/mcconjo01.html
Bucky McConnell,1953,1953,G,5-10,170.0,"July 1, 1928",,https://www.basketball-reference.com/players/m/mcconbu01.html
T.J. McConnell,2016,2023,G,6-1,190.0,"March 25, 1992","Duquesne, Arizona",https://www.basketball-reference.com/players/m/mccontj01.html
Keith McCord,1981,1981,G,6-7,210.0,"June 22, 1957","Alabama, UAB",https://www.basketball-reference.com/players/m/mccorke01.html
Tim McCormick,1985,1992,C,6-11,240.0,"March 10, 1962",Michigan,https://www.basketball-reference.com/players/m/mccorti01.html
Jelani McCoy,1999,2008,C,6-10,245.0,"December 6, 1977",UCLA,https://www.basketball-reference.com/players/m/mccoyje01.html
Paul McCracken,1973,1977,G,6-4,180.0,"September 11, 1950",Cal State Northridge,https://www.basketball-reference.com/players/m/mccrapa01.html
Chris McCray,2007,2007,G,6-5,192.0,"May 27, 1984",Maryland,https://www.basketball-reference.com/players/m/mccrach01.html
Rodney McCray,1984,1993,F-G,6-7,220.0,"August 29, 1961",Louisville,https://www.basketball-reference.com/players/m/mccraro01.html
Scooter McCray,1984,1987,F-G,6-9,215.0,"February 8, 1960",Louisville,https://www.basketball-reference.com/players/m/mccrasc01.html
Erik McCree,2018,2018,F,6-7,219.0,"December 20, 1993",Louisiana Tech,https://www.basketball-reference.com/players/m/mccreer01.html
Chris McCullough,2016,2018,F,6-11,200.0,"February 5, 1995",Syracuse,https://www.basketball-reference.com/players/m/mcculch01.html
John McCullough,1982,1982,G,6-4,190.0,"October 5, 1956",Oklahoma,https://www.basketball-reference.com/players/m/mcculjo01.html
Clint McDaniel,1996,1996,G,6-4,180.0,"February 26, 1972",Arkansas,https://www.basketball-reference.com/players/m/mcdancl01.html
Xavier McDaniel,1986,1998,F,6-7,205.0,"June 4, 1963",Wichita State,https://www.basketball-reference.com/players/m/mcdanxa01.html
Jaden McDaniels,2021,2023,F,6-9,185.0,"September 29, 2000",Washington,https://www.basketball-reference.com/players/m/mcdanja02.html
Jalen McDaniels,2020,2023,F,6-9,205.0,"January 31, 1998",San Diego State,https://www.basketball-reference.com/players/m/mcdanja01.html
Jim McDaniels,1972,1978,C-F,6-11,228.0,"April 2, 1948",Western Kentucky,https://www.basketball-reference.com/players/m/mcdanji01.html
K.J. McDaniels,2015,2017,G-F,6-6,205.0,"February 9, 1993",Clemson,https://www.basketball-reference.com/players/m/mcdankj01.html
Doug McDermott,2015,2023,F,6-7,225.0,"January 3, 1992",Creighton,https://www.basketball-reference.com/players/m/mcderdo01.html
Sean McDermott,2021,2021,F,6-6,195.0,"November 3, 1996",Butler,https://www.basketball-reference.com/players/m/mcderse01.html
Ben McDonald,1986,1989,F,6-8,210.0,"July 20, 1962","University of California, Irvine",https://www.basketball-reference.com/players/m/mcdonbe01.html
Glenn McDonald,1975,1977,F-G,6-6,190.0,"March 18, 1952",Cal State Long Beach,https://www.basketball-reference.com/players/m/mcdongl01.html
Michael McDonald,1998,1998,C,6-10,232.0,"February 13, 1969","Utah Valley, New Orleans",https://www.basketball-reference.com/players/m/mcdonmi01.html
Rod McDonald,1971,1973,F,6-6,205.0,"April 9, 1945",Whitworth,https://www.basketball-reference.com/players/m/mcdonro01.html
Hank McDowell,1982,1987,F-C,6-9,215.0,"November 13, 1959",Memphis,https://www.basketball-reference.com/players/m/mcdowha01.html
Antonio McDyess,1996,2011,F-C,6-9,220.0,"September 7, 1974",Alabama,https://www.basketball-reference.com/players/m/mcdyean01.html
Jim McElroy,1976,1982,G,6-3,190.0,"October 4, 1953",Central Michigan University,https://www.basketball-reference.com/players/m/mcelrji01.html
Pat McFarland,1974,1976,F-G,6-5,185.0,"December 7, 1951",Saint Joseph's,https://www.basketball-reference.com/players/m/mcfarpa01.html
Ivan McFarlin,2007,2007,F,6-8,240.0,"April 26, 1982",Oklahoma State,https://www.basketball-reference.com/players/m/mcfariv01.html
Mel McGaha,1949,1949,G,6-1,190.0,"September 26, 1926",Arkansas,https://www.basketball-reference.com/players/m/mcgahme01.html
Mitch McGary,2015,2016,F-C,6-10,255.0,"June 6, 1992",Michigan,https://www.basketball-reference.com/players/m/mcgarmi01.html
JaVale McGee,2009,2023,C,7-0,270.0,"January 19, 1988",Nevada,https://www.basketball-reference.com/players/m/mcgeeja01.html
Mike McGee,1982,1990,G-F,6-5,190.0,"July 29, 1959",Michigan,https://www.basketball-reference.com/players/m/mcgeemi01.html
Bill McGill,1963,1970,C-F,6-9,225.0,"September 16, 1939",Utah,https://www.basketball-reference.com/players/m/mcgilbi01.html
George McGinnis*,1972,1982,F-C,6-8,235.0,"August 12, 1950",Indiana,https://www.basketball-reference.com/players/m/mcginge01.html
Jon McGlocklin,1966,1976,G-F,6-5,205.0,"June 10, 1943",Indiana,https://www.basketball-reference.com/players/m/mcglojo01.html
Bryce McGowens,2023,2023,G-F,6-7,179.0,"November 8, 2002",Nebraska,https://www.basketball-reference.com/players/m/mcgowbr01.html
Tracy McGrady*,1998,2012,G-F,6-8,210.0,"May 24, 1979",,https://www.basketball-reference.com/players/m/mcgratr01.html
Gil McGregor,1972,1972,F,6-8,240.0,"June 14, 1949",Wake Forest,https://www.basketball-reference.com/players/m/mcgregi01.html
Cameron McGriff,2022,2022,F,6-7,230.0,"September 30, 1997",Oklahoma State,https://www.basketball-reference.com/players/m/mcgrica01.html
Elton McGriff,1968,1969,C,6-9,225.0,"August 21, 1942","City College of San Francisco, Creighton",https://www.basketball-reference.com/players/m/mcgriel01.html
Rodney McGruder,2017,2023,G,6-4,205.0,"July 29, 1991",Kansas State,https://www.basketball-reference.com/players/m/mcgruro01.html
Alfred McGuire*,1952,1955,G-F,6-2,180.0,"September 7, 1928",St. John's,https://www.basketball-reference.com/players/m/mcguial01.html
Allie McGuire,1974,1974,G,6-3,175.0,"July 10, 1951",Marquette,https://www.basketball-reference.com/players/m/mcguial02.html
