Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Peter John Ramos,2005,2005,C,7-3,275,"May 13, 1985",,https://www.basketball-reference.com/players/r/ramospe01.html
Cal Ramsey,1960,1961,F,6-4,200,"July 13, 1937",NYU,https://www.basketball-reference.com/players/r/ramseca01.html
Frank Ramsey*,1955,1964,F-G,6-3,190,"July 13, 1931",Kentucky,https://www.basketball-reference.com/players/r/ramsefr01.html
Jahmi'us Ramsey,2021,2022,G,6-3,190,"June 9, 2001",Texas Tech,https://www.basketball-reference.com/players/r/ramseja01.html
Ray Ramsey,1949,1949,G-F,6-2,165,"July 18, 1921",Bradley,https://www.basketball-reference.com/players/r/ramsera01.html
Mark Randall,1992,1995,F,6-8,235,"September 30, 1967",Kansas,https://www.basketball-reference.com/players/r/randama01.html
Chasson Randle,2017,2021,G,6-2,185,"February 5, 1993",Stanford,https://www.basketball-reference.com/players/r/randlch01.html
Julius Randle,2015,2023,F-C,6-8,250,"November 29, 1994",Kentucky,https://www.basketball-reference.com/players/r/randlju01.html
Anthony Randolph,2009,2014,F,6-10,205,"July 15, 1989",LSU,https://www.basketball-reference.com/players/r/randoan01.html
Shavlik Randolph,2006,2015,F,6-10,240,"November 24, 1983",Duke,https://www.basketball-reference.com/players/r/randosh01.html
Zach Randolph,2002,2018,F-C,6-9,250,"July 16, 1981",Michigan State,https://www.basketball-reference.com/players/r/randoza01.html
Wally Rank,1981,1981,F-G,6-6,220,"March 1, 1958",San Jose State,https://www.basketball-reference.com/players/r/rankwa01.html
Kelvin Ransey,1981,1986,G,6-1,170,"May 3, 1958",Ohio State,https://www.basketball-reference.com/players/r/ranseke01.html
Sam Ranzino,1952,1952,G,6-1,185,"June 23, 1928",NC State,https://www.basketball-reference.com/players/r/ranzisa01.html
Bobby Rascoe,1968,1970,G-F,6-4,205,"July 22, 1940",Western Kentucky,https://www.basketball-reference.com/players/r/rascobo01.html
Blair Rasmussen,1986,1993,C,7-0,250,"November 13, 1962",Oregon,https://www.basketball-reference.com/players/r/rasmubl01.html
Xavier Rathan-Mayes,2018,2018,G,6-4,208,"April 29, 1994",Florida State,https://www.basketball-reference.com/players/r/rathaxa01.html
George Ratkovicz,1950,1955,C-F,6-6,220,"November 13, 1922",,https://www.basketball-reference.com/players/r/ratkoge01.html
Ed Ratleff,1974,1978,F-G,6-6,195,"March 29, 1950",Cal State Long Beach,https://www.basketball-reference.com/players/r/ratleed01.html
Mike Ratliff,1973,1974,C,6-10,230,"June 7, 1951",University of Wisconsin-Eau Claire,https://www.basketball-reference.com/players/r/ratlimi01.html
Theo Ratliff,1996,2011,C-F,6-10,225,"April 17, 1973",Wyoming,https://www.basketball-reference.com/players/r/ratlith01.html
Andy Rautins,2011,2011,G,6-4,190,"November 2, 1986",Syracuse,https://www.basketball-reference.com/players/r/rautian01.html
Leo Rautins,1984,1985,F,6-8,215,"March 20, 1960","Minnesota, Syracuse",https://www.basketball-reference.com/players/r/rautile01.html
Allan Ray,2007,2007,G,6-2,190,"June 17, 1984",Villanova,https://www.basketball-reference.com/players/r/rayal01.html
Clifford Ray,1972,1981,C,6-9,230,"January 21, 1949",Oklahoma,https://www.basketball-reference.com/players/r/raycl01.html
Don Ray,1950,1950,F-C,6-5,190,"July 8, 1921",Western Kentucky,https://www.basketball-reference.com/players/r/raydo01.html
James Ray,1981,1983,F,6-8,215,"July 27, 1957",Jacksonville University,https://www.basketball-reference.com/players/r/rayja01.html
Jim Ray,1957,1960,G,6-1,180,"January 12, 1934",Toledo,https://www.basketball-reference.com/players/r/rayji01.html
Jimmy Rayl,1968,1969,G,6-2,175,"June 21, 1941",Indiana,https://www.basketball-reference.com/players/r/raylji01.html
Craig Raymond,1969,1973,C,6-11,235,"April 5, 1945",BYU,https://www.basketball-reference.com/players/r/raymocr01.html
Connie Rea,1954,1954,G-F,6-3,175,"January 27, 1931",Centenary (LA),https://www.basketball-reference.com/players/r/reaco01.html
Austin Reaves,2022,2023,G,6-5,206,"May 29, 1998","Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01.html
Joe Reaves,1974,1974,F,6-5,210,"May 27, 1950",Bethel College,https://www.basketball-reference.com/players/r/reavejo01.html
Josh Reaves,2020,2020,G,6-4,214,"June 4, 1997",Penn State,https://www.basketball-reference.com/players/r/reavejo02.html
Željko Rebrača,2002,2006,C,7-0,257,"April 9, 1972",,https://www.basketball-reference.com/players/r/rebraze01.html
Eldridge Recasner,1995,2002,G,6-3,190,"December 14, 1967",Washington,https://www.basketball-reference.com/players/r/recasel01.html
Michael Redd,2001,2012,G,6-6,220,"August 24, 1979",Ohio State,https://www.basketball-reference.com/players/r/reddmi01.html
Cam Reddish,2020,2023,F,6-8,218,"September 1, 1999",Duke,https://www.basketball-reference.com/players/r/reddica01.html
Frank Reddout,1954,1954,F,6-5,195,"March 4, 1931",Syracuse,https://www.basketball-reference.com/players/r/reddofr01.html
J.J. Redick,2007,2021,G,6-3,200,"June 24, 1984",Duke,https://www.basketball-reference.com/players/r/redicjj01.html
Marlon Redmond,1979,1980,G,6-6,188,"April 15, 1955",San Francisco,https://www.basketball-reference.com/players/r/redmoma01.html
Davon Reed,2018,2023,G,6-5,208,"June 11, 1995",Miami (FL),https://www.basketball-reference.com/players/r/reedda01.html
Hub Reed,1959,1965,C-F,6-9,215,"October 4, 1936",Oklahoma City University,https://www.basketball-reference.com/players/r/reedhu01.html
Justin Reed,2005,2007,F,6-8,240,"January 16, 1982",Ole Miss,https://www.basketball-reference.com/players/r/reedju01.html
Paul Reed,2021,2023,F,6-9,210,"June 14, 1999",DePaul,https://www.basketball-reference.com/players/r/reedpa01.html
Ron Reed,1966,1967,F,6-5,205,"November 2, 1942",Notre Dame,https://www.basketball-reference.com/players/r/reedro01.html
Willie Reed,2016,2018,F-C,6-10,220,"May 16, 1990",Saint Louis,https://www.basketball-reference.com/players/r/reedwi02.html
Willis Reed*,1965,1974,C-F,6-10,235,"June 25, 1942",Grambling State University,https://www.basketball-reference.com/players/r/reedwi01.html
Bryant Reeves,1996,2001,C,7-0,275,"June 8, 1973",Oklahoma State,https://www.basketball-reference.com/players/r/reevebr01.html
Khalid Reeves,1995,2000,G,6-3,199,"July 15, 1972",Arizona,https://www.basketball-reference.com/players/r/reevekh01.html
Richie Regan,1956,1958,G,6-2,180,"November 30, 1930",Seton Hall,https://www.basketball-reference.com/players/r/reganri01.html
Don Rehfeldt,1951,1952,F,6-7,210,"January 7, 1927",Wisconsin,https://www.basketball-reference.com/players/r/rehfedo01.html
Billy Reid,1981,1981,G,6-5,190,"September 10, 1957","New Mexico, San Francisco",https://www.basketball-reference.com/players/r/reidbi01.html
Don Reid,1996,2003,F,6-8,250,"December 30, 1973",Georgetown,https://www.basketball-reference.com/players/r/reiddo01.html
J.R. Reid,1990,2001,F,6-9,247,"March 31, 1968",UNC,https://www.basketball-reference.com/players/r/reidjr01.html
Jim Reid,1968,1968,F,6-6,210,"August 3, 1945",Winston-Salem State,https://www.basketball-reference.com/players/r/reidji01.html
Naz Reid,2020,2023,F,6-9,264,"August 26, 1999",LSU,https://www.basketball-reference.com/players/r/reidna01.html
Robert Reid,1978,1991,F-G,6-8,205,"August 30, 1955",St. Mary's University,https://www.basketball-reference.com/players/r/reidro01.html
Ryan Reid,2012,2012,F,6-8,232,"October 30, 1986",Florida State,https://www.basketball-reference.com/players/r/reidry01.html
Jared Reiner,2005,2007,C,6-11,255,"April 8, 1982",Iowa,https://www.basketball-reference.com/players/r/reineja01.html
Chick Reiser,1948,1950,G-F,5-11,165,"December 17, 1914",NYU,https://www.basketball-reference.com/players/r/reisech01.html
Richard Rellford,1988,1988,F,6-6,230,"February 16, 1964",Michigan,https://www.basketball-reference.com/players/r/rellfri01.html
Terrence Rencher,1996,1996,G,6-3,185,"February 19, 1973",Texas,https://www.basketball-reference.com/players/r/renchte01.html
John Rennicke,1952,1952,G,6-2,185,"August 11, 1929",Drake University,https://www.basketball-reference.com/players/r/rennijo01.html
Bob Rensberger,1947,1947,F,6-2,170,"March 7, 1921",Notre Dame,https://www.basketball-reference.com/players/r/rensbro01.html
Efthimios Rentzias,2003,2003,C,6-11,250,"January 11, 1976",,https://www.basketball-reference.com/players/r/rentzef01.html
Shawn Respert,1996,1999,G,6-1,195,"February 6, 1972",Michigan State,https://www.basketball-reference.com/players/r/respesh01.html
Kevin Restani,1975,1982,F-C,6-9,225,"December 23, 1951",San Francisco,https://www.basketball-reference.com/players/r/restake01.html
Cameron Reynolds,2019,2021,G,6-7,225,"February 7, 1995",Tulane,https://www.basketball-reference.com/players/r/reynoca01.html
George Reynolds,1970,1970,G,6-4,195,"November 23, 1947",Houston,https://www.basketball-reference.com/players/r/reynoge01.html
Jerry Reynolds,1986,1996,G-F,6-8,200,"December 23, 1962",LSU,https://www.basketball-reference.com/players/r/reynoje01.html
Kendall Rhine,1968,1969,C,6-10,230,"February 13, 1943",Rice University,https://www.basketball-reference.com/players/r/rhineke01.html
Jared Rhoden,2023,2023,G,6-6,210,"August 27, 1999",Seton Hall,https://www.basketball-reference.com/players/r/rhodeja01.html
Gene Rhodes,1953,1953,G,6-1,170,"September 2, 1927",Western Kentucky,https://www.basketball-reference.com/players/r/rhodege01.html
Rodrick Rhodes,1998,2000,G-F,6-6,225,"September 24, 1973","Kentucky, USC",https://www.basketball-reference.com/players/r/rhodero01.html
Glen Rice,1990,2004,F,6-8,215,"May 28, 1967",Michigan,https://www.basketball-reference.com/players/r/ricegl01.html
Glen Rice Jr.,2014,2015,G,6-6,206,"January 1, 1991",Georgia Tech,https://www.basketball-reference.com/players/r/ricegl02.html
Chris Richard,2008,2010,F,6-9,270,"December 25, 1984",Florida,https://www.basketball-reference.com/players/r/richach01.html
Nick Richards,2021,2023,F-C,7-0,245,"November 29, 1997",Kentucky,https://www.basketball-reference.com/players/r/richani01.html
Clint Richardson,1980,1987,G,6-3,195,"August 7, 1956",Seattle University,https://www.basketball-reference.com/players/r/richacl01.html
Jason Richardson,2002,2015,G,6-6,220,"January 20, 1981",Michigan State,https://www.basketball-reference.com/players/r/richaja01.html
Jeremy Richardson,2007,2009,G-F,6-6,185,"March 1, 1984",Delta State University,https://www.basketball-reference.com/players/r/richaje01.html
Josh Richardson,2016,2023,G,6-5,200,"September 15, 1993",Tennessee,https://www.basketball-reference.com/players/r/richajo01.html
Malachi Richardson,2017,2019,G,6-6,205,"January 5, 1996",Syracuse,https://www.basketball-reference.com/players/r/richama01.html
Micheal Ray Richardson,1979,1986,G-F,6-5,189,"April 11, 1955",Montana,https://www.basketball-reference.com/players/r/richami01.html
Norm Richardson,2002,2002,G,6-5,190,"July 24, 1979",Hofstra,https://www.basketball-reference.com/players/r/richano01.html
Pooh Richardson,1990,1999,G,6-1,180,"May 14, 1966",UCLA,https://www.basketball-reference.com/players/r/richapo01.html
Quentin Richardson,2001,2013,G-F,6-6,223,"April 13, 1980",DePaul,https://www.basketball-reference.com/players/r/richaqu01.html
Mitch Richmond*,1989,2002,G,6-5,215,"June 30, 1965",Kansas State,https://www.basketball-reference.com/players/r/richmmi01.html
John Richter,1960,1960,F,6-9,225,"March 12, 1937",NC State,https://www.basketball-reference.com/players/r/richtjo01.html
Dick Ricketts,1956,1958,F-C,6-7,215,"December 4, 1933",Duquesne,https://www.basketball-reference.com/players/r/rickedi01.html
Isaiah Rider,1994,2002,G,6-5,215,"March 12, 1971",UNLV,https://www.basketball-reference.com/players/r/rideris01.html
Jackie Ridgle,1972,1972,G,6-4,195,"February 13, 1948",California,https://www.basketball-reference.com/players/r/ridglja01.html
Luke Ridnour,2004,2015,G,6-2,175,"February 13, 1981",Oregon,https://www.basketball-reference.com/players/r/ridnolu01.html
Mel Riebe,1947,1949,G-F,5-11,180,"July 12, 1916",College of Wooster,https://www.basketball-reference.com/players/r/riebeme01.html
Bob Riedy,1968,1968,F,6-6,215,"August 26, 1945",Duke,https://www.basketball-reference.com/players/r/riedybo01.html
Jim Riffey,1951,1951,F,6-4,200,"December 14, 1923",Tulane,https://www.basketball-reference.com/players/r/riffeji01.html
Antoine Rigaudeau,2003,2003,G,6-7,210,"December 17, 1971",,https://www.basketball-reference.com/players/r/rigauan01.html
Tom Riker,1973,1975,C-F,6-10,225,"February 28, 1950",South Carolina,https://www.basketball-reference.com/players/r/rikerto01.html
Bob Riley,1971,1971,F,6-9,235,"July 6, 1948",Mount St. Mary's University,https://www.basketball-reference.com/players/r/rileybo01.html
Eric Riley,1994,1999,C,7-0,245,"June 2, 1970",Michigan,https://www.basketball-reference.com/players/r/rileyer01.html
Pat Riley*,1968,1976,G-F,6-4,205,"March 20, 1945",Kentucky,https://www.basketball-reference.com/players/r/rileypa01.html
Ron Riley,1973,1976,F,6-8,195,"November 11, 1950",USC,https://www.basketball-reference.com/players/r/rileyro01.html
Grant Riller,2021,2021,G,6-2,190,"February 8, 1997",College of Charleston,https://www.basketball-reference.com/players/r/rillegr01.html
Rich Rinaldi,1972,1974,G,6-3,195,"August 3, 1949",Saint Peter's College,https://www.basketball-reference.com/players/r/rinalri01.html
Mike Riordan,1969,1977,G-F,6-4,200,"July 9, 1945",Providence,https://www.basketball-reference.com/players/r/riordmi01.html
Arnie Risen*,1949,1958,C-F,6-9,200,"October 9, 1924",Ohio State,https://www.basketball-reference.com/players/r/risenar01.html
Tex Ritter,1949,1951,G-F,6-2,185,"February 26, 1924",Eastern Kentucky University,https://www.basketball-reference.com/players/r/rittete01.html
Ramón Rivas,1989,1989,F-C,6-10,260,"June 3, 1966",Temple,https://www.basketball-reference.com/players/r/rivasra01.html
Austin Rivers,2013,2023,G,6-4,200,"August 1, 1992",Duke,https://www.basketball-reference.com/players/r/riverau01.html
David Rivers,1989,1992,G,6-0,170,"January 20, 1965",Notre Dame,https://www.basketball-reference.com/players/r/riverda01.html
Doc Rivers,1984,1996,G,6-4,185,"October 13, 1961",Marquette,https://www.basketball-reference.com/players/r/riverdo01.html
Lee Robbins,1948,1949,F,6-3,175,"February 11, 1922",Colorado,https://www.basketball-reference.com/players/r/robbile01.html
Red Robbins,1968,1975,F-C,6-8,190,"September 30, 1944","Chipola College, Tennessee",https://www.basketball-reference.com/players/r/robbire01.html
Andre Roberson,2014,2021,G-F,6-7,210,"December 4, 1991",Colorado,https://www.basketball-reference.com/players/r/roberan03.html
Anthony Roberson,2006,2009,G,6-2,180,"February 14, 1983",Florida,https://www.basketball-reference.com/players/r/roberan02.html
Rick Roberson,1970,1976,C-F,6-9,231,"July 7, 1947",Cincinnati,https://www.basketball-reference.com/players/r/roberri01.html
Terrance Roberson,2001,2001,F,6-7,215,"December 30, 1976",Fresno State,https://www.basketball-reference.com/players/r/roberte01.html
Anthony Roberts,1978,1984,F-G,6-5,185,"April 15, 1955",Oral Roberts,https://www.basketball-reference.com/players/r/roberan01.html
Bill Roberts,1949,1950,C,6-9,210,"March 13, 1925",Wyoming,https://www.basketball-reference.com/players/r/roberbi01.html
Brian Roberts,2013,2017,G,6-1,173,"December 3, 1985",Dayton,https://www.basketball-reference.com/players/r/roberbr01.html
Fred Roberts,1984,1997,F-C,6-10,218,"August 14, 1960",BYU,https://www.basketball-reference.com/players/r/roberfr01.html
Joe Roberts,1961,1968,F,6-6,214,"May 18, 1936",Ohio State,https://www.basketball-reference.com/players/r/roberjo01.html
Lawrence Roberts,2006,2007,F,6-9,240,"October 20, 1982","Baylor, Mississippi State",https://www.basketball-reference.com/players/r/roberla01.html
Marv Roberts,1972,1977,F-C,6-8,200,"January 29, 1950",Utah State University,https://www.basketball-reference.com/players/r/roberma01.html
Stanley Roberts,1992,2000,C,7-0,285,"February 7, 1970",LSU,https://www.basketball-reference.com/players/r/roberst01.html
Alvin Robertson,1985,1996,G,6-4,185,"July 22, 1962",Arkansas,https://www.basketball-reference.com/players/r/roberal01.html
Oscar Robertson*,1961,1974,G-F,6-5,205,"November 24, 1938",Cincinnati,https://www.basketball-reference.com/players/r/roberos01.html
Ryan Robertson,2000,2000,G,6-5,190,"October 2, 1976",Kansas,https://www.basketball-reference.com/players/r/roberry01.html
Tony Robertson,1978,1979,G,6-4,195,"January 1, 1956",West Virginia,https://www.basketball-reference.com/players/r/roberto01.html
Rick Robey,1979,1986,C-F,6-11,230,"January 30, 1956",Kentucky,https://www.basketball-reference.com/players/r/robeyri01.html
Bernard Robinson,2005,2007,G-F,6-6,210,"December 26, 1980",Michigan,https://www.basketball-reference.com/players/r/robinbe01.html
Chris Robinson,1997,1998,G,6-5,200,"April 2, 1974",Western Kentucky,https://www.basketball-reference.com/players/r/robinch01.html
Cliff Robinson,1980,1992,F,6-9,220,"March 13, 1960",USC,https://www.basketball-reference.com/players/r/robincl01.html
Clifford Robinson,1990,2007,F-C,6-10,225,"December 16, 1966",UConn,https://www.basketball-reference.com/players/r/robincl02.html
David Robinson*,1990,2003,C,7-1,235,"August 6, 1965",United States Naval Academy,https://www.basketball-reference.com/players/r/robinda01.html
Devin Robinson,2018,2019,F,6-8,200,"March 7, 1995",Florida,https://www.basketball-reference.com/players/r/robinde01.html
Duncan Robinson,2019,2023,G-F,6-7,215,"April 22, 1994","Williams, Michigan",https://www.basketball-reference.com/players/r/robindu01.html
Eddie Robinson,2000,2004,G-F,6-8,210,"April 19, 1976",University of Central Oklahoma,https://www.basketball-reference.com/players/r/robined01.html
Flynn Robinson,1967,1974,G,6-1,185,"April 28, 1941","Southern Illinois, , Wyoming",https://www.basketball-reference.com/players/r/robinfl01.html
Glenn Robinson,1995,2005,F,6-7,225,"January 10, 1973",Purdue,https://www.basketball-reference.com/players/r/robingl01.html
Glenn Robinson III,2015,2021,G-F,6-6,222,"January 8, 1994",Michigan,https://www.basketball-reference.com/players/r/robingl02.html
Jackie Robinson,1979,1982,F,6-6,210,"May 20, 1955",UNLV,https://www.basketball-reference.com/players/r/robinja01.html
Jamal Robinson,2001,2001,F,6-7,212,"December 27, 1973",Virginia,https://www.basketball-reference.com/players/r/robinja03.html
James Robinson,1994,2001,G,6-2,180,"August 31, 1970",Alabama,https://www.basketball-reference.com/players/r/robinja02.html
Jerome Robinson,2019,2021,G,6-4,190,"February 22, 1997",Boston College,https://www.basketball-reference.com/players/r/robinje01.html
Justin Robinson,2020,2022,G,6-1,195,"October 12, 1997",Virginia Tech,https://www.basketball-reference.com/players/r/robinju01.html
Larry Robinson,1991,2002,F-G,6-3,180,"January 11, 1968",Centenary (LA),https://www.basketball-reference.com/players/r/robinla01.html
Mitchell Robinson,2019,2023,C,7-0,240,"April 1, 1998",Western Kentucky,https://www.basketball-reference.com/players/r/robinmi01.html
Nate Robinson,2006,2016,G,5-9,180,"May 31, 1984",Washington,https://www.basketball-reference.com/players/r/robinna01.html
Oliver Robinson,1983,1983,G,6-4,180,"March 13, 1960",UAB,https://www.basketball-reference.com/players/r/robinol01.html
Orlando Robinson,2023,2023,F,7-0,235,"July 10, 2000",Fresno State,https://www.basketball-reference.com/players/r/robinor01.html
Ronnie Robinson,1974,1975,F,6-8,200,"March 9, 1951",Memphis,https://www.basketball-reference.com/players/r/robinro01.html
Rumeal Robinson,1991,1997,G,6-2,195,"November 13, 1966",Michigan,https://www.basketball-reference.com/players/r/robinru01.html
Sam Robinson,1971,1972,F,6-7,190,"January 1, 1948","Pasadena City College, Cal State Long Beach",https://www.basketball-reference.com/players/r/robinsa01.html
Thomas Robinson,2013,2017,F,6-10,237,"March 17, 1991",Kansas,https://www.basketball-reference.com/players/r/robinth01.html
Truck Robinson,1975,1985,F-C,6-7,225,"October 4, 1951",Tennessee State,https://www.basketball-reference.com/players/r/robintr01.html
Wayne Robinson,1981,1981,F,6-8,217,"April 19, 1958",Virginia Tech,https://www.basketball-reference.com/players/r/robinwa01.html
Wil Robinson,1974,1974,G,6-2,175,"December 25, 1949",West Virginia,https://www.basketball-reference.com/players/r/robinwi01.html
Jeremiah Robinson-Earl,2022,2023,F,6-9,230,"November 3, 2000",Villanova,https://www.basketball-reference.com/players/r/robinje02.html
Bill Robinzine,1976,1982,F,6-7,230,"January 20, 1953",DePaul,https://www.basketball-reference.com/players/r/robinbi01.html
Dave Robisch,1972,1984,C-F,6-10,235,"December 22, 1949",Kansas,https://www.basketball-reference.com/players/r/robisda01.html
Isaiah Roby,2020,2023,F,6-8,230,"February 3, 1998",Nebraska,https://www.basketball-reference.com/players/r/robyis01.html
Red Rocha,1948,1957,C-F,6-9,185,"September 18, 1923",Oregon State,https://www.basketball-reference.com/players/r/rochare01.html
John Roche,1972,1982,G,6-3,170,"September 26, 1949",South Carolina,https://www.basketball-reference.com/players/r/rochejo01.html
Gene Rock,1948,1948,G,5-9,155,"November 4, 1921",USC,https://www.basketball-reference.com/players/r/rockge01.html
Jack Rocker,1948,1948,C-F,6-5,185,"August 12, 1922",California,https://www.basketball-reference.com/players/r/rockeja01.html
David Roddy,2023,2023,F,6-6,255,"March 27, 2001",Colorado State,https://www.basketball-reference.com/players/r/roddyda01.html
Guy Rodgers*,1959,1970,G,6-0,185,"September 1, 1935",Temple,https://www.basketball-reference.com/players/r/rodgegu01.html
Dennis Rodman*,1987,2000,F,6-7,210,"May 13, 1961",Southeastern Oklahoma State University,https://www.basketball-reference.com/players/r/rodmade01.html
Sergio Rodríguez,2007,2017,G,6-3,176,"June 12, 1986",,https://www.basketball-reference.com/players/r/rodrise01.html
Lou Roe,1996,1997,F,6-7,220,"July 14, 1972",UMass,https://www.basketball-reference.com/players/r/roelo01.html
Carlos Rogers,1995,2002,C-F,6-11,220,"February 6, 1971","Little Rock, Tennessee State",https://www.basketball-reference.com/players/r/rogerca01.html
Harry Rogers,1976,1976,F,6-7,195,"December 31, 1950",Saint Louis,https://www.basketball-reference.com/players/r/rogerha01.html
Johnny Rogers,1987,1988,F-C,6-10,225,"December 30, 1963","Stanford, University of California, Irvine",https://www.basketball-reference.com/players/r/rogerjo01.html
Marshall Rogers,1977,1977,G,6-1,190,"August 27, 1953",University of Texas Rio Grande Valley,https://www.basketball-reference.com/players/r/rogerma01.html
Rodney Rogers,1994,2005,F,6-7,235,"June 20, 1971",Wake Forest,https://www.basketball-reference.com/players/r/rogerro01.html
Roy Rogers,1997,2000,F,6-10,235,"August 19, 1973",Alabama,https://www.basketball-reference.com/players/r/rogerro02.html
Willie Rogers,1969,1969,G-F,6-3,185,"September 11, 1945",Oklahoma,https://www.basketball-reference.com/players/r/rogerwi01.html
Al Roges,1954,1955,G-F,6-4,195,"October 25, 1930",Long Island University,https://www.basketball-reference.com/players/r/rogesal01.html
Ken Rohloff,1964,1964,G,6-0,195,"April 18, 1939",NC State,https://www.basketball-reference.com/players/r/rohloke01.html
Kenny Rollins,1949,1953,G,6-0,168,"September 14, 1923",Kentucky,https://www.basketball-reference.com/players/r/rollike01.html
Phil Rollins,1959,1961,G,6-2,185,"January 19, 1934",Louisville,https://www.basketball-reference.com/players/r/rolliph01.html
Ryan Rollins,2023,2023,G,6-4,180,"July 3, 2002",Toledo,https://www.basketball-reference.com/players/r/rolliry01.html
Tree Rollins,1978,1995,C,7-1,235,"June 16, 1955",Clemson,https://www.basketball-reference.com/players/r/rollitr01.html
Lorenzo Romar,1981,1985,G,6-1,175,"November 13, 1958",Washington,https://www.basketball-reference.com/players/r/romarlo01.html
Rajon Rondo,2007,2022,G,6-1,180,"February 22, 1986",Kentucky,https://www.basketball-reference.com/players/r/rondora01.html
Jerry Rook,1970,1970,F,6-5,219,"October 27, 1943",Arkansas State University,https://www.basketball-reference.com/players/r/rookje01.html
Sean Rooks,1993,2004,C,6-10,250,"September 9, 1969",Arizona,https://www.basketball-reference.com/players/r/rooksse01.html
Derrick Rose,2009,2023,G,6-3,200,"October 4, 1988",Memphis,https://www.basketball-reference.com/players/r/rosede01.html
Jalen Rose,1995,2007,G-F,6-8,210,"January 30, 1973",Michigan,https://www.basketball-reference.com/players/r/roseja01.html
Malik Rose,1997,2009,F-C,6-7,250,"November 23, 1974",Drexel,https://www.basketball-reference.com/players/r/rosema01.html
Rob Rose,1989,1989,G,6-5,180,"December 27, 1964",George Mason,https://www.basketball-reference.com/players/r/rosero01.html
Petey Rosenberg,1947,1947,G,5-10,165,"April 7, 1918",Saint Joseph's,https://www.basketball-reference.com/players/r/rosenpe01.html
Lennie Rosenbluth,1958,1959,F,6-4,190,"January 22, 1933",UNC,https://www.basketball-reference.com/players/r/rosenle01.html
Hank Rosenstein,1947,1947,F,6-4,185,"June 16, 1920",City College of New York,https://www.basketball-reference.com/players/r/rosenha01.html
Dick Rosenthal,1955,1957,F-G,6-5,205,"January 20, 1930",Notre Dame,https://www.basketball-reference.com/players/r/rosendi01.html
Quinton Ross,2005,2011,G,6-6,195,"April 30, 1981",SMU,https://www.basketball-reference.com/players/r/rossqu01.html
Terrence Ross,2013,2023,F-G,6-6,206,"February 5, 1991",Washington,https://www.basketball-reference.com/players/r/rosste01.html
Doug Roth,1990,1990,C,6-11,255,"August 24, 1967",Tennessee,https://www.basketball-reference.com/players/r/rothdo01.html
Scott Roth,1988,1990,F,6-8,212,"June 3, 1963",Wisconsin,https://www.basketball-reference.com/players/r/rothsc01.html
Irv Rothenberg,1947,1949,C,6-7,215,"December 31, 1921",Long Island University,https://www.basketball-reference.com/players/r/rotheir01.html
Mickey Rottner,1947,1948,G,5-10,180,"March 23, 1919",Loyola Chicago,https://www.basketball-reference.com/players/r/rottnmi01.html
Dan Roundfield,1976,1987,F-C,6-8,205,"May 26, 1953",Central Michigan University,https://www.basketball-reference.com/players/r/roundda01.html
Giff Roux,1947,1949,F-C,6-5,195,"June 28, 1923",Kansas,https://www.basketball-reference.com/players/r/rouxgi01.html
