Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Swen Nater,1974,1984,C,6-11,240.0,"January 14, 1950","Cypress College, UCLA",https://www.basketball-reference.com/players/n/natersw01.html
Howard Nathan,1996,1996,G,5-11,175.0,"January 21, 1972","DePaul, Louisiana-Monroe",https://www.basketball-reference.com/players/n/nathaho01.html
Calvin Natt,1980,1990,F,6-6,220.0,"January 8, 1957",Louisiana-Monroe,https://www.basketball-reference.com/players/n/nattca01.html
Kenny Natt,1981,1985,G,6-3,185.0,"October 5, 1958",Louisiana-Monroe,https://www.basketball-reference.com/players/n/nattke01.html
Willie Naulls,1957,1966,F-C,6-6,225.0,"October 7, 1934",UCLA,https://www.basketball-reference.com/players/n/naullwi01.html
Juan Carlos Navarro,2008,2008,G,6-3,170.0,"June 13, 1980",,https://www.basketball-reference.com/players/n/navarju01.html
Maurice Ndour,2017,2017,F,6-9,200.0,"June 18, 1992",Ohio University,https://www.basketball-reference.com/players/n/ndourma01.html
Craig Neal,1989,1991,G,6-5,165.0,"February 16, 1964",Georgia Tech,https://www.basketball-reference.com/players/n/nealcr01.html
Gary Neal,2011,2017,G,6-4,210.0,"October 3, 1984","La Salle, Towson University",https://www.basketball-reference.com/players/n/nealga01.html
Jim Neal,1954,1955,C,6-11,235.0,"May 21, 1930",Wofford College,https://www.basketball-reference.com/players/n/nealji01.html
Lloyd Neal,1973,1979,C-F,6-7,225.0,"December 10, 1950",Tennessee State,https://www.basketball-reference.com/players/n/nealll01.html
Ed Nealy,1983,1993,F,6-7,238.0,"February 19, 1960",Kansas State,https://www.basketball-reference.com/players/n/nealyed01.html
Nemanja Nedović,2014,2014,G,6-3,192.0,"June 16, 1991",,https://www.basketball-reference.com/players/n/nedovne01.html
Al Negratti,1947,1947,F-C,6-3,200.0,"June 12, 1921",Seton Hall,https://www.basketball-reference.com/players/n/negraal01.html
Barry Nelson,1972,1972,C,6-10,230.0,"September 19, 1949",Duquesne,https://www.basketball-reference.com/players/n/nelsoba01.html
DeMarcus Nelson,2009,2009,G,6-4,200.0,"November 2, 1985",Duke,https://www.basketball-reference.com/players/n/nelsode01.html
Don Nelson*,1963,1976,F,6-6,210.0,"May 15, 1940",Iowa,https://www.basketball-reference.com/players/n/nelsodo01.html
Jameer Nelson,2005,2018,G,6-0,190.0,"February 9, 1982",Saint Joseph's,https://www.basketball-reference.com/players/n/nelsoja01.html
Louie Nelson,1974,1978,G,6-3,190.0,"May 28, 1951",Washington,https://www.basketball-reference.com/players/n/nelsolo01.html
Ron Nelson,1971,1971,G,6-2,175.0,"October 7, 1946",New Mexico,https://www.basketball-reference.com/players/n/nelsoro01.html
Andrew Nembhard,2023,2023,G,6-5,193.0,"January 16, 2000","Florida, Gonzaga",https://www.basketball-reference.com/players/n/nembhan01.html
RJ Nembhard Jr.,2022,2022,G,6-5,200.0,"March 22, 1999",TCU,https://www.basketball-reference.com/players/n/nembhrj01.html
Ruben Nembhard,1997,1997,G,6-3,208.0,"February 20, 1972",Weber State,https://www.basketball-reference.com/players/n/nembhru01.html
Dick Nemelka,1971,1971,G,6-0,175.0,"October 1, 1943",BYU,https://www.basketball-reference.com/players/n/nemeldi01.html
Tyrone Nesby,1999,2002,F,6-6,225.0,"January 31, 1976","Vincennes University, UNLV",https://www.basketball-reference.com/players/n/nesbyty01.html
Aaron Nesmith,2021,2023,G-F,6-5,215.0,"October 16, 1999",Vanderbilt,https://www.basketball-reference.com/players/n/nesmiaa01.html
Martin Nessley,1988,1988,C,7-2,260.0,"February 16, 1965",Duke,https://www.basketball-reference.com/players/n/nesslma01.html
Rasho Nesterović,1999,2010,C,7-0,248.0,"May 30, 1976",,https://www.basketball-reference.com/players/n/nestera01.html
Raul Neto,2016,2023,G,6-1,180.0,"May 19, 1992",,https://www.basketball-reference.com/players/n/netora01.html
Bob Netolicky,1968,1976,F-C,6-9,220.0,"August 2, 1942",Drake University,https://www.basketball-reference.com/players/n/netolbo01.html
Johnny Neumann,1972,1978,G-F,6-6,200.0,"September 11, 1951",Ole Miss,https://www.basketball-reference.com/players/n/neumajo01.html
Paul Neumann,1962,1967,G,6-1,175.0,"January 30, 1938",Stanford,https://www.basketball-reference.com/players/n/neumapa01.html
Chuck Nevitt,1983,1994,C,7-5,217.0,"June 13, 1959",NC State,https://www.basketball-reference.com/players/n/nevitch01.html
Melvin Newbern,1993,1993,G,6-4,200.0,"June 11, 1967",Minnesota,https://www.basketball-reference.com/players/n/newbeme01.html
Ivano Newbill,1995,1998,F,6-9,245.0,"December 12, 1970",Georgia Tech,https://www.basketball-reference.com/players/n/newbiiv01.html
Ira Newble,2001,2008,F,6-7,220.0,"January 20, 1975",Miami University,https://www.basketball-reference.com/players/n/newblir01.html
Mike Newlin,1972,1982,G-F,6-4,200.0,"January 2, 1949",Utah,https://www.basketball-reference.com/players/n/newlimi01.html
Johnny Newman,1987,2002,F-G,6-7,190.0,"November 28, 1963",Richmond,https://www.basketball-reference.com/players/n/newmajo01.html
Malik Newman,2020,2022,G,6-3,190.0,"February 21, 1997","Mississippi State, Kansas",https://www.basketball-reference.com/players/n/newmama01.html
Dave Newmark,1969,1971,C,7-0,240.0,"September 11, 1946",Columbia University,https://www.basketball-reference.com/players/n/newmada01.html
Bill Newton,1973,1974,C,6-9,220.0,"December 22, 1950",LSU,https://www.basketball-reference.com/players/n/newtobi01.html
Georges Niang,2017,2023,F,6-7,230.0,"June 17, 1993",Iowa State,https://www.basketball-reference.com/players/n/niangge01.html
Demetris Nichols,2008,2009,F,6-8,216.0,"September 4, 1984",Syracuse,https://www.basketball-reference.com/players/n/nichode01.html
Jack Nichols,1949,1958,C-F,6-7,222.0,"April 9, 1926",Washington,https://www.basketball-reference.com/players/n/nichoja01.html
Andrew Nicholson,2013,2017,F,6-9,250.0,"December 8, 1989",St. Bonaventure,https://www.basketball-reference.com/players/n/nichoan01.html
Gaylon Nickerson,1997,1997,G,6-3,190.0,"February 5, 1969","Wichita State, Butler County Community College, Kansas State, Northwestern Oklahoma State University",https://www.basketball-reference.com/players/n/nickega01.html
Carl Nicks,1981,1983,G,6-1,175.0,"October 6, 1958",Indiana State University,https://www.basketball-reference.com/players/n/nicksca01.html
Rich Niemann,1969,1972,C,7-0,245.0,"July 2, 1946",Saint Louis,https://www.basketball-reference.com/players/n/niemari01.html
Richie Niemiera,1949,1950,G-F,6-1,165.0,"May 26, 1921",Notre Dame,https://www.basketball-reference.com/players/n/niemiri01.html
Mike Niles,1981,1981,F,6-6,225.0,"March 31, 1955",Cal State Fullerton,https://www.basketball-reference.com/players/n/nilesmi01.html
Kurt Nimphius,1982,1990,C-F,6-10,218.0,"March 13, 1958",Arizona State,https://www.basketball-reference.com/players/n/nimphku01.html
Daishen Nix,2022,2023,G,6-5,224.0,"February 13, 2002",,https://www.basketball-reference.com/players/n/nixda01.html
Dyron Nix,1990,1990,F,6-7,210.0,"February 11, 1967",Tennessee,https://www.basketball-reference.com/players/n/nixdy01.html
Norm Nixon,1978,1989,G,6-2,170.0,"October 11, 1955",Duquesne,https://www.basketball-reference.com/players/n/nixonno01.html
Zeke Nnaji,2021,2023,F,6-9,240.0,"January 9, 2001",Arizona,https://www.basketball-reference.com/players/n/nnajize01.html
Joakim Noah,2008,2020,C,6-11,230.0,"February 25, 1985",Florida,https://www.basketball-reference.com/players/n/noahjo01.html
Chuck Noble,1956,1962,G,6-4,190.0,"July 24, 1931",Louisville,https://www.basketball-reference.com/players/n/noblech01.html
Andrés Nocioni,2005,2012,F,6-7,225.0,"November 30, 1979",,https://www.basketball-reference.com/players/n/nocioan01.html
David Noel,2007,2007,F,6-6,230.0,"February 27, 1984",UNC,https://www.basketball-reference.com/players/n/noelda01.html
Nerlens Noel,2015,2023,C-F,6-11,220.0,"April 10, 1994",Kentucky,https://www.basketball-reference.com/players/n/noelne01.html
Paul Noel,1948,1952,F,6-4,185.0,"August 17, 1924",Kentucky,https://www.basketball-reference.com/players/n/noelpa01.html
Lucas Nogueira,2015,2018,C,7-0,241.0,"July 26, 1992",,https://www.basketball-reference.com/players/n/noguelu01.html
Jim Nolan,1950,1950,C,6-8,210.0,"June 9, 1927",Georgia Tech,https://www.basketball-reference.com/players/n/nolanji01.html
Paul Nolen,1954,1954,C,6-10,,"September 3, 1929",Texas Tech,https://www.basketball-reference.com/players/n/nolenpa01.html
Jeff Nordgaard,1998,1998,F,6-7,225.0,"February 23, 1973",Green Bay,https://www.basketball-reference.com/players/n/nordgje01.html
Bevo Nordmann,1962,1965,C,6-10,225.0,"December 11, 1939",Saint Louis,https://www.basketball-reference.com/players/n/nordmbe01.html
Johnny Norlander,1947,1951,F,6-3,180.0,"March 5, 1921",Hamline University,https://www.basketball-reference.com/players/n/norlajo01.html
Connie Norman,1975,1979,G,6-3,175.0,"September 24, 1953",Arizona,https://www.basketball-reference.com/players/n/normaco01.html
Ken Norman,1988,1997,F,6-8,215.0,"September 5, 1964",Illinois,https://www.basketball-reference.com/players/n/normake01.html
Audie Norris,1983,1985,C,6-9,230.0,"December 18, 1960",Jackson State University,https://www.basketball-reference.com/players/n/norriau01.html
Moochie Norris,1997,2006,G,6-1,175.0,"July 27, 1973","Auburn, University of West Florida",https://www.basketball-reference.com/players/n/norrimo01.html
Sylvester Norris,1980,1980,C,6-11,220.0,"February 18, 1957",Jackson State University,https://www.basketball-reference.com/players/n/norrisy01.html
Zach Norvell,2020,2020,G,6-5,206.0,"December 9, 1997",Gonzaga,https://www.basketball-reference.com/players/n/norveza01.html
Willie Norwood,1972,1978,F,6-7,220.0,"August 8, 1947",Alcorn State,https://www.basketball-reference.com/players/n/norwowi01.html
George Nostrand,1947,1950,C-F,6-8,195.0,"January 25, 1924",Wyoming,https://www.basketball-reference.com/players/n/nostrge01.html
Stan Noszka,1947,1949,G,6-1,185.0,"September 9, 1920",Duquesne,https://www.basketball-reference.com/players/n/noszkst01.html
Mike Novak,1949,1954,C-F,6-9,219.0,"April 23, 1915",Loyola Chicago,https://www.basketball-reference.com/players/n/novakmi01.html
Steve Novak,2007,2017,F,6-10,225.0,"June 13, 1983",Marquette,https://www.basketball-reference.com/players/n/novakst01.html
Jaylen Nowell,2020,2023,G,6-4,201.0,"July 9, 1999",Washington,https://www.basketball-reference.com/players/n/nowelja01.html
Mel Nowell,1963,1968,G,6-2,170.0,"December 27, 1939",Ohio State,https://www.basketball-reference.com/players/n/nowelme01.html
Dirk Nowitzki,1999,2019,F,7-0,245.0,"June 19, 1978",,https://www.basketball-reference.com/players/n/nowitdi01.html
Frank Ntilikina,2018,2023,G,6-4,200.0,"July 28, 1998",,https://www.basketball-reference.com/players/n/ntilila01.html
Kendrick Nunn,2020,2023,G,6-2,190.0,"August 3, 1995","Illinois, Oakland",https://www.basketball-reference.com/players/n/nunnke01.html
James Nunnally,2014,2021,F,6-7,208.0,"July 14, 1990",UC Santa Barbara,https://www.basketball-reference.com/players/n/nunnaja01.html
Jusuf Nurkić,2015,2023,C,6-11,290.0,"August 23, 1994",,https://www.basketball-reference.com/players/n/nurkiju01.html
Dennis Nutt,1987,1987,G,6-2,170.0,"March 25, 1963",TCU,https://www.basketball-reference.com/players/n/nuttde01.html
David Nwaba,2017,2022,G,6-5,219.0,"January 14, 1993",Cal Poly,https://www.basketball-reference.com/players/n/nwabada01.html
Jordan Nwora,2021,2023,F,6-8,225.0,"September 9, 1998",Louisville,https://www.basketball-reference.com/players/n/nworajo01.html
Julius Nwosu,1995,1995,C,6-10,255.0,"May 1, 1971",Liberty,https://www.basketball-reference.com/players/n/nwosuju01.html
